day,date_time,phase,temperature,ventilation,irrigation,light_hours,plant1_height,plant1_root_length,plant1_flowers,plant1_appearance,error_active,error_description
24,2025-04-06 11:37:16,growth,20.8,2.8,139.7,14.4,4.9,12.5,0,8.3,False,
25,2025-04-06 11:37:16,growth,18.7,2.5,116.1,15.9,5.2,12.8,0,7.9,False,
26,2025-04-06 11:37:17,growth,18.9,2.1,162.3,14.2,5.5,13.0,0,7.8,False,
27,2025-04-06 11:37:17,growth,21.7,2.8,192.5,15.9,5.8,13.3,0,8.0,False,
28,2025-04-06 11:37:17,growth,21.1,2.4,126.1,15.4,6.2,13.7,0,8.3,False,
29,2025-04-06 11:37:17,growth,18.9,2.8,136.3,14.8,6.6,14.1,0,7.9,False,
30,2025-04-06 11:37:17,growth,20.7,2.4,149.0,15.0,7.2,14.6,0,8.0,False,
31,2025-04-06 11:37:18,growth,19.0,1.6711012366814886,159.4,15.0,7.9,15.3,0,7.6,True,Ventilation too low: 1.7/hr
32,2025-04-06 11:37:18,growth,21.3,2.6,176.5,14.3,8.7,16.0,0,8.2,False,
33,2025-04-06 11:37:18,growth,21.6,1.784704098191354,162.5,15.2,9.4,16.7,0,7.7,True,Ventilation too low: 1.8/hr
34,2025-04-06 11:37:18,growth,18.3,2.7,161.0,14.4,10.4,17.6,0,8.0,False,
35,2025-04-06 11:37:18,growth,20.8,2.2,193.2,14.7,11.5,18.6,0,7.9,False,
36,2025-04-06 11:37:18,growth,20.5,2.9,191.9,14.3,12.5,19.6,0,8.1,False,
37,2025-04-06 11:37:18,growth,21.5,2.4,104.0,14.4,13.8,20.7,0,7.8,False,
38,2025-04-06 11:37:18,growth,19.1,2.2,153.9,14.9,15.0,21.8,0,8.0,False,
39,2025-04-06 11:37:18,growth,21.7,2.9,130.4,15.9,16.4,23.2,0,8.3,False,
40,2025-04-06 11:37:18,growth,22.0,2.2,175.5,14.0,17.9,24.6,0,8.1,False,
41,2025-04-06 11:37:18,growth,18.5,2.1,106.5,15.9,19.3,25.9,0,8.3,False,
42,2025-04-06 11:37:18,growth,22.0,2.9,132.2,14.4,21.0,27.5,0,8.2,False,
43,2025-04-06 11:37:18,growth,21.8,2.5,161.7,14.4,22.7,29.1,0,8.3,False,
44,2025-04-06 11:37:18,growth,20.3,2.4,133.2,15.8,24.6,30.8,0,7.8,False,
45,2025-04-06 11:37:18,growth,18.1,2.7,109.7,15.7,26.4,32.4,0,8.1,False,
46,2025-04-06 11:37:18,growth,19.7,2.6,191.4,14.6,28.2,34.2,0,7.8,False,
47,2025-04-06 11:37:18,growth,21.7,2.6,167.3,14.7,30.0,35.8,0,7.9,False,
48,2025-04-06 11:37:18,growth,20.0,2.2,105.1,15.7,31.7,37.4,0,7.9,False,
49,2025-04-06 11:37:18,growth,18.9,3.0,140.5,14.1,33.7,39.2,0,8.1,False,
50,2025-04-06 11:37:18,growth,19.4,2.9,226.61205372208323,14.9,35.7,41.1,0,8.0,True,Irrigation too high: 226.6ml
51,2025-04-06 11:37:18,growth,20.3,2.2,188.4,15.4,37.8,43.0,0,8.2,False,
52,2025-04-06 11:37:18,growth,20.8,2.2,189.2,14.9,39.9,45.0,0,8.0,False,
53,2025-04-06 11:37:18,growth,19.7,2.0,119.7,14.5,42.0,47.0,0,7.8,False,
54,2025-04-06 11:37:18,growth,18.9,2.8,166.6,14.3,44.2,49.0,0,7.8,False,
55,2025-04-06 11:37:18,growth,19.0,1.8881300066293512,159.0,14.9,46.0,50.7,0,8.1,True,Ventilation too low: 1.9/hr
56,2025-04-06 11:37:18,growth,18.6,2.6,190.9,14.6,47.8,52.3,0,8.2,False,
57,2025-04-06 11:37:18,growth,23.36796664579882,2.4,162.5,14.9,49.7,54.1,0,7.7,True,Temperature too high: 23.4°C
58,2025-04-06 11:37:18,growth,20.2,2.6,109.7,15.6,51.8,56.1,0,7.8,False,
59,2025-04-06 11:37:18,growth,20.2,2.1,129.2,14.7,53.7,57.8,0,7.7,False,
60,2025-04-06 11:37:18,growth,21.8,2.5,191.2,15.9,55.9,59.8,0,7.9,False,
