day,date_time,phase,temperature,ventilation,irrigation,light_hours,plant1_height,plant1_root_length,plant1_flowers,plant1_appearance,error_active,error_description
59,2025-04-06 11:44:52,growth,18.4,2.8,122.9,15.2,53.3,57.7,0,8.0,False,
60,2025-04-06 11:44:52,growth,18.1,2.8,136.9,15.0,55.1,59.3,0,7.9,False,
61,2025-04-06 11:44:52,flowering,21.3,3.4,204.0,14.0,55.2,59.4,0,10,False,
62,2025-04-06 11:44:52,flowering,20.8,3.3,246.4,14.0,55.2,59.4,0,9.9,False,
63,2025-04-06 11:44:52,flowering,22.4,3.2,194.0,14.0,55.3,59.5,0,9.7,False,
64,2025-04-06 11:44:52,flowering,22.6,4.0,235.2,14.0,55.5,59.6,0,10,False,
65,2025-04-06 11:44:52,flowering,23.9,4.0,159.3,14.0,55.8,59.8,0,10,False,
66,2025-04-06 11:44:52,flowering,21.0,3.5,157.4,14.0,56.3,60.2,1,10,False,
67,2025-04-06 11:44:52,flowering,21.1,2.5204014186193118,158.6,14.0,57.0,60.8,2,9.7,True,Ventilation too low: 2.5/hr
68,2025-04-06 11:44:52,flowering,18.126099052228955,3.9,152.8,14.0,58.3,61.7,4,9.7,True,Temperature too low: 18.1°C
69,2025-04-06 11:44:52,flowering,23.9,3.6,199.4,14.0,59.7,62.8,6,9.8,False,
70,2025-04-06 11:44:52,flowering,21.0,3.3,168.5,14.0,61.2,63.9,8,10,False,
71,2025-04-06 11:44:52,flowering,23.3,3.6,240.9,14.0,63.1,65.3,11,10,False,
72,2025-04-06 11:44:52,flowering,22.8,3.0,228.1,14.0,64.8,66.6,14,9.9,False,
73,2025-04-06 11:44:52,flowering,23.2,3.1,172.3,14.0,66.6,67.9,17,9.7,False,
74,2025-04-06 11:44:52,flowering,23.4,3.4,244.7,14.0,68.6,69.4,20,10.0,False,
75,2025-04-06 11:44:52,flowering,23.7,3.0,249.9,14.0,70.5,70.8,23,9.9,False,
76,2025-04-06 11:44:53,ripening,21.4,2.5,149.2,13.9,70.5,70.9,23,8.8,False,
77,2025-04-06 11:44:53,ripening,18.9,2.0,133.9,13.6,70.5,70.9,23,9.1,False,
78,2025-04-06 11:44:53,ripening,21.1,2.1,193.7,13.7,70.5,70.9,23,8.8,False,
79,2025-04-06 11:44:53,ripening,20.0,2.9,136.8,12.8,70.5,70.9,23,9.2,False,
80,2025-04-06 11:44:53,ripening,21.2,2.4,150.5,12.7,70.5,70.9,23,9.0,False,
81,2025-04-06 11:44:53,ripening,20.7,2.2,100.5,12.4,70.5,70.9,23,9.1,False,
82,2025-04-06 11:44:53,ripening,18.7,2.7,125.2,13.5,70.6,70.9,23,8.7,False,
83,2025-04-06 11:44:53,ripening,21.4,2.9,131.3,13.5,70.6,71.0,23,8.9,False,
84,2025-04-06 11:44:53,ripening,19.4,2.1,189.2,13.0,70.7,71.0,23,9.1,False,
85,2025-04-06 11:44:53,ripening,19.2,2.1,175.7,12.2,70.8,71.1,23,9.2,False,
86,2025-04-06 11:44:53,ripening,19.5,3.2321664109515114,107.7,13.1,70.9,71.2,23,8.7,True,Ventilation too high: 3.2/hr
87,2025-04-06 11:44:53,ripening,20.2,2.9,175.7,13.6,71.0,71.4,23,9.0,False,
88,2025-04-06 11:44:53,ripening,18.6,2.6,166.5,12.1,71.1,71.5,23,8.8,False,
89,2025-04-06 11:44:53,ripening,21.6,2.2,163.6,12.2,71.3,71.7,23,8.9,False,
90,2025-04-06 11:44:53,ripening,18.2,2.7,129.5,13.8,71.5,71.9,23,8.8,False,
91,2025-04-06 11:44:53,ripening,21.7,2.1,166.5,12.4,71.8,72.1,23,9.0,False,
92,2025-04-06 11:44:53,ripening,18.6,2.1,153.0,13.7,72.0,72.4,23,9.3,False,
93,2025-04-06 11:44:53,ripening,19.6,2.2,197.2,12.4,72.2,72.6,23,9.2,False,
94,2025-04-06 11:44:53,ripening,21.5,2.1,136.8,12.5,72.5,72.9,23,9.2,False,
95,2025-04-06 11:44:53,ripening,19.6,2.2,188.9,13.9,72.8,73.1,23,8.7,False,
96,2025-04-06 11:44:53,ripening,21.9,2.8,114.4,12.5,73.0,73.4,23,9.1,False,
97,2025-04-06 11:44:53,ripening,19.5,2.4,147.5,13.4,73.3,73.7,23,9.0,False,
98,2025-04-06 11:44:53,ripening,18.4,2.1,167.1,12.9,73.6,74.0,23,9.0,False,
99,2025-04-06 11:44:53,ripening,18.3,2.8,150.1,13.6,73.9,74.3,23,9.2,False,
100,2025-04-06 11:44:53,ripening,19.3,2.8,131.7,13.9,74.2,74.6,24,9.1,False,
