day,date_time,phase,temperature,ventilation,irrigation,light_hours,plant1_height,plant1_root_length,plant1_flowers,plant1_appearance,error_active,error_description
37,2025-04-06 11:37:36,growth,20.6,2.8,171.3,14.3,13.8,21.0,0,7.9,False,
38,2025-04-06 11:37:36,growth,20.6,2.5,182.6,15.3,15.0,22.2,0,7.7,False,
39,2025-04-06 11:37:36,growth,20.1,2.8,128.9,14.2,16.3,23.4,0,7.9,False,
40,2025-04-06 11:37:37,growth,21.1,2.7,112.9,15.6,17.6,24.6,0,8.1,False,
41,2025-04-06 11:37:37,growth,21.0,2.7,137.1,15.3,19.1,26.0,0,8.1,False,
42,2025-04-06 11:37:37,growth,18.4,2.7,100.6,15.7,20.7,27.5,0,8.2,False,
43,2025-04-06 11:37:37,growth,19.9,2.1,117.6,15.0,22.3,28.9,0,8.0,False,
44,2025-04-06 11:37:37,growth,19.7,2.4,165.1,15.7,23.9,30.4,0,8.0,False,
45,2025-04-06 11:37:38,growth,20.2,2.4,155.6,15.7,25.6,32.1,0,8.2,False,
46,2025-04-06 11:37:38,growth,19.3,2.0,177.0,15.9,27.5,33.8,0,7.8,False,
47,2025-04-06 11:37:38,growth,18.6,2.2,106.5,14.3,29.3,35.5,0,7.9,False,
48,2025-04-06 11:37:38,growth,21.3,2.1,195.6,15.4,31.3,37.3,0,8.3,False,
49,2025-04-06 11:37:38,growth,20.0,2.7,120.9,15.3,33.3,39.1,0,7.7,False,
50,2025-04-06 11:37:39,growth,21.3,2.7,174.4,15.6,35.0,40.8,0,8.2,False,
51,2025-04-06 11:37:39,growth,20.7,2.3,108.3,14.7,36.9,42.5,0,8.1,False,
52,2025-04-06 11:37:39,growth,19.4,2.9,195.4,14.1,38.9,44.4,0,8.2,False,
53,2025-04-06 11:37:39,growth,18.8,2.6,197.0,15.0,40.8,46.1,0,8.2,False,
54,2025-04-06 11:37:39,growth,18.4,2.4,131.0,14.9,42.9,48.1,0,7.7,False,
55,2025-04-06 11:37:39,growth,19.6,2.6,134.0,14.5,44.8,49.8,0,8.1,False,
56,2025-04-06 11:37:40,growth,21.6,2.3,160.5,15.0,46.7,51.7,0,7.7,False,
57,2025-04-06 11:37:40,growth,21.1,2.2,143.2,14.1,48.8,53.6,0,8.1,False,
58,2025-04-06 11:37:40,growth,18.9,2.3,114.3,15.0,50.8,55.4,0,7.7,False,
59,2025-04-06 11:37:40,growth,18.6,2.8,189.2,14.1,52.8,57.2,0,8.2,False,
60,2025-04-06 11:37:40,growth,19.7,2.3,157.5,17.58854642160844,54.9,59.3,0,8.2,True,Light hours too high: 17.6hrs
