day,date_time,phase,temperature,ventilation,irrigation,light_hours,plant1_height,plant1_root_length,plant1_flowers,plant1_appearance,error_active,error_description
32,2025-04-06 11:37:24,growth,21.5,2.8,127.0,14.4,8.6,16.4,0,8.1,False,
33,2025-04-06 11:37:24,growth,21.0,2.3,162.0,15.1,9.5,17.2,0,7.9,False,
34,2025-04-06 11:37:24,growth,21.9,2.5,107.6,15.6,10.4,18.0,0,8.0,False,
35,2025-04-06 11:37:25,growth,20.4,2.6,172.6,15.4,11.5,19.1,0,7.8,False,
36,2025-04-06 11:37:25,growth,19.4,2.7,180.8,14.1,12.6,20.1,0,8.3,False,
37,2025-04-06 11:37:25,growth,19.9,2.8,103.4,15.5,13.8,21.2,0,8.0,False,
38,2025-04-06 11:37:25,growth,20.8,2.4,138.3,14.3,15.0,22.3,0,8.3,False,
39,2025-04-06 11:37:25,growth,24.2885726944816,2.2,172.9,16.0,16.4,23.6,0,7.9,True,Temperature too high: 24.3°C
40,2025-04-06 11:37:25,growth,20.4,2.9,174.6,14.1,17.9,25.0,0,7.9,False,
41,2025-04-06 11:37:26,growth,20.0,2.9,131.8,14.1,19.5,26.5,0,8.1,False,
42,2025-04-06 11:37:26,growth,19.8,2.7,161.6,15.2,21.1,28.0,0,8.0,False,
43,2025-04-06 11:37:26,growth,21.1,2.5,145.0,14.1,22.9,29.7,0,7.9,False,
44,2025-04-06 11:37:26,growth,18.5,2.1,192.1,15.5,24.6,31.3,0,8.1,False,
45,2025-04-06 11:37:26,growth,21.3,2.9,194.1,15.1,26.5,33.0,0,7.8,False,
46,2025-04-06 11:37:27,growth,21.9,2.4,150.4,15.8,28.2,34.6,0,8.3,False,
47,2025-04-06 11:37:27,growth,21.6,2.7,105.7,15.5,29.9,36.2,0,7.9,False,
48,2025-04-06 11:37:27,growth,20.7,2.9,123.8,15.2,31.7,37.9,0,8.2,False,
49,2025-04-06 11:37:27,growth,20.2,2.9,123.2,14.4,33.5,39.5,0,7.8,False,
50,2025-04-06 11:37:27,growth,21.7,2.8,138.8,14.7,35.3,41.2,0,8.0,False,
51,2025-04-06 11:37:27,growth,20.6,2.9,119.4,12.27451596456906,37.4,43.1,0,8.1,True,Light hours too low: 12.3hrs
52,2025-04-06 11:37:28,growth,20.6,2.2,130.6,14.5,39.4,45.0,0,7.7,False,
53,2025-04-06 11:37:28,growth,20.2,2.6,168.8,14.3,41.4,46.8,0,8.0,False,
54,2025-04-06 11:37:28,growth,20.7,2.4,154.4,15.9,43.5,48.8,0,8.1,False,
55,2025-04-06 11:37:28,growth,20.4,3.0,124.5,15.8,45.6,50.8,0,8.3,False,
56,2025-04-06 11:37:28,growth,19.5,2.5,168.4,14.4,47.4,52.5,0,7.9,False,
57,2025-04-06 11:37:28,growth,21.8,2.9,132.2,14.4,49.5,54.4,0,8.2,False,
58,2025-04-06 11:37:29,growth,21.1,2.8,186.2,14.2,51.7,56.4,0,7.9,False,
59,2025-04-06 11:37:29,growth,20.3,3.0,118.8,14.4,53.9,58.4,0,7.9,False,
60,2025-04-06 11:37:29,growth,18.1,2.1,168.3,14.4,55.8,60.2,0,7.8,False,
